atco_code,station_name,naptan_common_name,longitude,latitude,msoa_code,msoa_name,ctyua_code,ctyua_name,male_hle_estimate,male_hle_low95,male_hle_high95,male_model_se,male_life_expectancy,male_life_expectancy_imputed,male_good_health_rate,male_disabled_rate,male_hle,female_hle_estimate,female_hle_low95,female_hle_high95,female_model_se,female_life_expectancy,female_life_expectancy_imputed,female_good_health_rate,female_disabled_rate,female_hle
9400ZZTWBKF,Bank Foot,Bank Foot (Tyne and Wear Metro Station),-1.678,55.014,E02001711,Newcastle upon Tyne 004,E08000021,Newcastle upon Tyne,56.302,52.047,60.558,2.171,75.505,False,0.766,0.234,60.3,57.145,52.412,61.878,2.415,79.32,False,0.766,0.234,60.7
9400ZZTWBDE,Bede,Bede (Tyne and Wear Metro Station),-1.465,54.974,E02001774,South Tyneside 007,E08000023,South Tyneside,49.332,44.893,53.771,2.265,73.244,False,0.721,0.264,55.9,48.655,43.848,53.462,2.453,77.534,False,0.721,0.264,55.8
9400ZZTWBTN,Benton,Benton (Tyne and Wear Metro Station),-1.568,55.014,E02001755,North Tyneside 018,E08000022,North Tyneside,61.225,56.425,66.026,2.449,81.345,False,0.831,0.178,57.6,61.729,56.593,66.865,2.621,83.89,False,0.831,0.178,57.4
9400ZZTWBRW,Brockley Whins,Brockley Whins (Tyne and Wear Metro Station),-1.461,54.96,E02001781,South Tyneside 014,E08000023,South Tyneside,50.642,46.167,55.117,2.283,74.554,False,0.74,0.251,55.9,49.847,45.035,54.659,2.455,80.323,False,0.74,0.251,55.8
9400ZZTWBKR,Byker,Byker (Tyne and Wear Metro Station),-1.58,54.976,E02007103,Newcastle upon Tyne 040,E08000021,Newcastle upon Tyne,48.642,44.37,52.913,2.179,69.659,False,0.745,0.253,60.3,49.257,44.506,54.008,2.424,75.184,False,0.745,0.253,60.7
9400ZZTWCTP,Callerton Parkway,Callerton Parkway (Tyne and Wear Metro Station),-1.704,55.028,E02001711,Newcastle upon Tyne 004,E08000021,Newcastle upon Tyne,56.302,52.047,60.558,2.171,75.505,False,0.766,0.234,60.3,57.145,52.412,61.878,2.415,79.32,False,0.766,0.234,60.7
9400ZZTWCST,Central Station,Central Station (Tyne and Wear Metro Station),-1.616,54.969,E02007099,Newcastle upon Tyne 036,E08000021,Newcastle upon Tyne,64.678,59.981,69.376,2.397,73.754,False,0.887,0.133,60.3,66.91,62.098,71.723,2.455,79.182,False,0.887,0.133,60.7
9400ZZTWCHT,Chichester,Chichester (Tyne and Wear Metro Station),-1.432,54.986,E02001769,South Tyneside 002,E08000023,South Tyneside,46.599,42.168,51.031,2.261,71.477,False,0.717,0.263,55.9,46.703,41.89,51.516,2.456,77.291,False,0.717,0.263,55.8
9400ZZTWCHM,Chillingham Road,Chillingham Road (Tyne and Wear Metro Station),-1.572,54.983,E02007098,Newcastle upon Tyne 035,E08000021,Newcastle upon Tyne,51.353,47.072,55.635,2.184,72.499,False,0.727,0.25,60.3,50.378,45.634,55.123,2.421,77.411,False,0.727,0.25,60.7
9400ZZTWCCS,Cullercoats,Cullercoats (Tyne and Wear Metro Station),-1.436,55.035,E02001747,North Tyneside 010,E08000022,North Tyneside,64.378,59.558,69.199,2.46,82.521,False,0.811,0.182,57.6,64.638,59.494,69.782,2.624,85.095,False,0.811,0.182,57.4
